CSsig,Expsig,Rewardsig,EarlyExpsig,csValue,delayValue,EarlydelayValue,usReward,om,usRPE1,brainArea
0,0,0,0,0,0,0,0,0,0,Ce
0,0,0,0,0,0,0,0,0,0,Ce
0,0,0,0,0,0,0,0,0,0,Ce
0,0,1,0,0,0,0,0,0,0,Ce
0,0,0,0,0,0,0,0,-1,0,Ce
0,0,0,0,0,0,0,0,0,0,Ce
0,0,1,0,0,1,1,1,0,0,Ce
0,0,0,0,0,0,0,1,0,0,Ce
0,0,1,0,0,0,0,1,0,0,Ce
0,0,1,0,0,0,0,0,0,1,Ce
0,0,0,0,0,0,0,0,0,0,Ce
0,0,0,0,0,0,0,0,0,0,Ce
1,1,0,1,0,1,1,0,-1,0,Ce
0,1,1,0,0,0,0,0,0,0,Ce
1,0,0,0,0,0,0,0,-1,0,Ce
0,1,0,1,0,1,1,0,-1,0,Ce
0,1,1,1,0,1,1,0,-1,0,Ce
0,0,0,0,0,0,0,0,-1,0,Ce
0,0,0,1,0,0,0,0,1,0,Ce
1,1,1,1,0,1,1,0,-1,1,Ce
0,1,1,1,0,1,1,0,-1,0,Ce
0,0,0,1,0,1,1,0,0,0,Ce
0,0,1,1,0,0,1,0,-1,0,Ce
0,0,0,0,0,0,0,0,0,0,Ce
0,0,0,0,0,0,0,0,0,0,Ce
0,1,0,1,0,1,1,0,0,0,Ce
0,1,0,1,0,0,1,0,0,0,Ce
0,0,1,0,0,0,0,-1,0,0,Ce
0,0,1,0,0,0,0,0,0,0,Ce
0,1,0,1,0,0,0,0,0,0,Ce
1,1,1,1,1,1,1,0,-1,0,Ce
0,0,0,0,0,0,0,0,0,0,Ce
0,1,1,1,0,-1,-1,0,1,0,Ce
0,1,1,1,0,0,0,0,-1,0,Ce
0,0,0,0,0,0,0,0,0,0,Ce
1,1,0,1,1,1,1,0,-1,0,Ce
0,1,1,1,0,1,1,0,-1,0,Ce
1,1,1,0,1,0,0,1,0,0,Ce
0,1,1,1,1,1,1,0,-1,0,Ce
1,0,0,0,0,0,0,0,0,0,Ce
0,0,1,0,0,0,0,-1,0,0,Ce
0,1,0,1,0,-1,-1,0,1,0,Ce
1,0,0,1,1,0,0,0,0,0,Ce
1,1,1,1,1,0,0,0,-1,0,Ce
0,1,1,1,0,1,1,0,-1,0,Ce
1,1,0,0,0,1,0,0,1,0,Ce
0,1,0,1,-1,1,1,0,0,0,Ce
1,1,1,1,1,1,1,0,-1,0,Ce
0,0,1,1,0,0,-1,-1,0,0,Ce
0,1,0,0,1,-1,0,0,0,0,Ce
0,0,0,0,0,0,0,0,0,0,Ce
0,1,1,1,0,1,1,0,-1,0,Ce
1,1,0,1,1,0,1,0,0,0,Ce
1,1,1,1,0,0,0,0,-1,0,Ce
1,1,1,1,1,1,1,0,-1,0,Ce
0,1,0,0,0,0,0,0,0,0,Dorsal striatum
0,1,1,1,0,1,1,0,-1,0,Dorsal striatum
1,0,0,0,0,0,0,0,-1,0,Dorsal striatum
0,1,1,0,0,1,1,1,0,0,Dorsal striatum
1,1,1,1,0,-1,-1,0,0,0,Dorsal striatum
0,0,1,0,0,0,0,0,-1,0,Dorsal striatum
0,1,0,1,0,0,0,0,-1,0,Dorsal striatum
0,1,1,1,0,0,0,0,0,0,Dorsal striatum
0,0,0,0,0,0,0,0,0,0,Dorsal striatum
1,1,0,1,0,1,1,0,0,1,Dorsal striatum
0,0,0,0,0,0,0,0,0,0,Dorsal striatum
0,0,0,0,0,0,0,1,0,0,Dorsal striatum
0,0,0,0,0,0,0,0,0,0,Dorsal striatum
1,0,1,0,1,0,0,0,-1,0,Dorsal striatum
0,0,1,0,0,0,0,0,0,0,Dorsal striatum
0,1,1,1,0,1,1,0,0,0,Dorsal striatum
0,1,0,0,0,-1,0,0,0,0,Dorsal striatum
0,0,0,0,0,0,0,0,0,0,Dorsal striatum
0,0,0,0,0,0,0,1,0,0,Dorsal striatum
0,0,0,0,-1,0,0,0,0,0,Dorsal striatum
0,0,0,0,0,0,0,0,0,0,Dorsal striatum
0,1,1,1,0,0,1,0,-1,0,Dorsal striatum
0,1,0,1,0,1,1,0,-1,0,Dorsal striatum
0,1,1,1,0,1,1,0,-1,0,Dorsal striatum
0,0,0,0,0,0,0,0,0,0,Dorsal striatum
0,1,0,1,0,0,0,0,0,0,Dorsal striatum
1,1,0,1,-1,-1,-1,0,-1,0,Dorsal striatum
0,0,0,0,0,0,0,0,0,0,Dorsal striatum
0,1,1,1,0,1,1,0,-1,0,Dorsal striatum
0,0,0,0,0,0,0,0,0,0,Dorsal striatum
0,1,0,1,1,1,1,0,-1,0,Dorsal striatum
0,1,1,1,0,0,1,0,0,0,Dorsal striatum
0,1,0,1,0,1,1,0,0,1,Dorsal striatum
1,1,1,1,1,1,1,0,-1,1,Dorsal striatum
0,0,0,0,0,0,0,0,-1,0,Dorsal striatum
0,0,0,0,0,0,0,0,0,0,Dorsal striatum
0,0,0,0,0,0,0,0,1,0,Dorsal striatum
0,1,1,0,0,-1,0,0,0,0,Dorsal striatum
