CSposRPE CSposNegRPE brainArea
0 0 Striatum
0 0 Striatum
0 0 Striatum
0 0 Striatum
0 0 Striatum
0 0 LH
0 0 LH
0 0 LH
0 0 LH
0 0 LH
0 0 LH
0 0 LH
0 0 LH
0 0 VS
0 0 PPTg
0 0 PPTg
1 0 PPTg
0 0 PPTg
1 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 VS
0 0 VS
0 0 VS
0 0 VS
0 0 RMTg
0 0 LH
0 0 LH
0 0 LH
0 0 LH
1 0 LH
0 0 LH
1 0 LH
0 0 VS
0 0 VS
0 0 VS
0 0 VP
1 1 LH
0 0 LH
0 0 St
0 0 St
0 0 RMTg
0 0 RMTg
0 0 RMTg
0 0 RMTg
0 0 RMTg
0 0 RMTg
0 0 RMTg
0 0 RMTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
1 0 PPTg
0 0 VP
0 0 VP
0 0 RMTg
0 0 RMTg
0 0 RMTg
0 0 RMTg
0 0 VS
0 0 VS
0 0 VS
0 0 St
0 0 St
0 0 St
0 0 St
0 0 St
0 0 St
0 0 St
0 0 St
0 0 St
0 0 St
0 0 St
0 0 St
0 0 VS
0 0 RMTg
0 0 RMTg
0 0 RMTg
0 0 VS
0 0 VS
0 0 St
0 0 St
0 0 St
0 0 St
0 0 St
0 0 St
0 0 VP
0 0 VP
0 0 PPTg
0 0 PPTg
0 0 PPTg
1 0 LH
0 0 LH
0 0 LH
0 0 LH
1 0 LH
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
1 1 PPTg
0 0 PPTg
0 0 PPTg
0 0 VS
0 0 VS
0 0 VS
0 0 VS
1 0 PPTg
1 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 St
0 0 St
0 0 St
0 0 St
0 0 LH
1 1 LH
1 1 VP
0 0 VP
0 0 VP
0 0 VP
1 0 VP
0 0 LH
1 0 LH
0 0 LH
0 0 LH
0 0 LH
0 0 Ce
0 0 Ce
0 0 Ce
1 0 Ce
0 0 Ce
0 0 Ce
0 0 Ce
0 0 PPTg
0 0 PPTg
0 0 LH
0 0 LH
0 0 LH
0 0 LH
0 0 VP
0 0 VP
0 0 VP
0 0 VS
0 0 VP
0 0 VP
0 0 VP
0 0 VP
1 1 LH
0 0 LH
0 0 LH
0 0 LH
1 1 LH
1 1 LH
0 0 LH
0 0 LH
1 1 LH
0 0 VS
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 LH
0 0 LH
0 0 LH
0 0 LH
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
0 0 PPTg
1 0 PPTg
1 0 PPTg
