CSposRPE,CSposNegRPE,RewardRPE,brainArea
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,1,Ce
0,0,0,Ce
0,0,1,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,1,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Ce
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,1,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,1,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
1,0,1,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
1,0,1,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,1,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,1,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Dorsal striatum
0,0,0,Lateral hypothalamus
0,0,1,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,1,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
0,0,0,Lateral hypothalamus
