CSposRPE,CSposNegRPE,brainArea
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Ventral striatum
0,0,PPTg
0,0,PPTg
0,0,PPTg
0,0,Ventral striatum
0,0,Ventral striatum
0,0,Ventral striatum
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
1,0,Lateral hypothalamus
0,0,Ventral striatum
0,0,Ventral striatum
0,0,Ventral striatum
1,1,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,RMTg
0,0,RMTg
0,0,RMTg
0,0,RMTg
0,0,RMTg
0,0,PPTg
0,0,PPTg
1,0,PPTg
0,0,Ventral pallidum
0,0,RMTg
0,0,RMTg
1,0,Dopamine
0,0,VTA type3
0,0,Ventral striatum
0,0,Ventral striatum
1,0,Dopamine
1,1,Dopamine
0,0,Dopamine
1,1,Dopamine
0,0,VTA type2
1,0,VTA type2
0,0,VTA type3
0,0,VTA type3
0,0,VTA type3
0,0,VTA type3
0,0,VTA type3
0,0,VTA type3
0,0,VTA type2
1,0,VTA type2
0,0,VTA type3
0,0,VTA type3
0,0,VTA type3
0,0,VTA type3
0,0,VTA type2
0,0,VTA type2
0,0,VTA type3
0,0,VTA type3
0,0,VTA type3
0,0,VTA type3
1,0,Dopamine
0,0,VTA type3
0,0,VTA type2
1,1,Dopamine
0,0,Dopamine
0,0,VTA type3
0,0,Dopamine
1,0,Dopamine
1,1,Dopamine
0,0,VTA type2
1,0,VTA type2
0,0,VTA type2
1,1,Dopamine
1,0,Dopamine
0,0,VTA type2
0,0,VTA type2
0,0,VTA type2
0,0,Dopamine
0,0,VTA type2
0,0,VTA type3
0,0,VTA type3
0,0,VTA type3
0,0,VTA type2
0,0,VTA type3
1,1,Dopamine
0,0,VTA type2
0,0,VTA type2
1,1,Dopamine
0,0,VTA type2
1,1,Dopamine
0,0,VTA type2
0,0,VTA type2
0,0,VTA type2
0,0,Dopamine
0,0,VTA type3
1,1,Dopamine
0,0,VTA type3
0,0,VTA type3
0,0,VTA type2
0,0,Dopamine
1,0,Dopamine
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,RMTg
0,0,RMTg
0,0,RMTg
1,1,Dopamine
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,Dorsal striatum
0,0,VTA type3
0,0,VTA type2
0,0,VTA type2
1,0,Dopamine
0,0,Dopamine
1,1,Dopamine
0,0,Dopamine
0,0,VTA type3
1,1,Dopamine
1,0,VTA type2
0,0,VTA type3
0,0,VTA type3
0,0,VTA type2
0,0,Dopamine
0,0,VTA type2
1,1,Dopamine
1,1,Dopamine
0,0,VTA type3
0,0,VTA type3
0,0,VTA type2
0,0,VTA type2
0,0,VTA type2
1,1,Dopamine
1,0,VTA type2
0,0,VTA type3
0,0,Ventral pallidum
0,0,Ventral pallidum
0,0,PPTg
0,0,Lateral hypothalamus
0,0,PPTg
0,0,PPTg
0,0,PPTg
0,0,PPTg
0,0,PPTg
0,0,PPTg
0,0,PPTg
0,0,PPTg
0,0,Ventral striatum
0,0,Ventral striatum
1,0,PPTg
0,0,PPTg
0,0,Ventral striatum
0,0,Ventral striatum
1,1,Ventral pallidum
0,0,Ventral pallidum
0,0,Ventral pallidum
0,0,Ventral pallidum
1,0,Ventral pallidum
1,0,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Subthalamic
0,0,Subthalamic
0,0,Subthalamic
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Ventral pallidum
0,0,Ventral pallidum
0,0,Ventral pallidum
0,0,Ventral striatum
0,0,Ventral pallidum
0,0,Ventral pallidum
0,0,Ventral pallidum
0,0,Ventral pallidum
1,1,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
0,0,Lateral hypothalamus
1,1,Lateral hypothalamus
0,0,Ventral striatum
0,0,PPTg
0,0,Lateral hypothalamus
0,0,PPTg
0,0,PPTg
0,0,PPTg
0,0,PPTg
0,0,PPTg
0,0,RMTg
0,0,RMTg
0,0,RMTg
0,0,RMTg
1,0,RMTg
