sig50Rvs50OM,sigExp,sig50OM,sig90Reward,RPEsign,EXPsign,sig50R,OM50sign,Rewardsign,pureReward,pureExp,RPE,pureRewardWithCue,pureExpDir,pureRPEDir,brainArea,mixed,other
1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,Ce,0,0
1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,Ce,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Ce,0,1
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Ce,0,1
0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,Ce,0,1
1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,Ce,0,0
1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,Ce,0,0
1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,Ce,0,0
1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,Ce,0,0
1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,Ce,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ce,0,1
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Ce,1,0
0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,Ce,0,0
0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,Ce,0,0
1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,Ce,0,0
1,0,1,1,0,1,1,-1,1,0,0,0,0,0,0,Ce,1,0
1,0,1,1,0,1,1,-1,1,0,0,0,0,0,0,Ce,1,0
0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,Ce,0,1
0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,Ce,0,0
1,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,Ce,1,0
1,0,1,1,0,1,1,-1,1,0,0,0,0,0,0,Ce,1,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Ce,0,1
0,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,Ce,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Ce,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Ce,0,1
1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,Ce,0,0
0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,Ce,0,1
1,0,1,1,2,0,1,-1,0,0,0,0,0,0,2,Ce,1,0
1,0,1,0,2,0,1,-1,0,0,0,0,0,0,2,Ce,1,0
0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,Ce,0,1
1,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,Ce,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ce,0,1
1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,Ce,1,0
1,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,Ce,1,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Ce,0,1
0,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,Ce,0,1
1,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,Ce,1,0
1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,Ce,0,0
1,0,1,1,0,1,1,-1,1,0,0,0,0,0,0,Ce,1,0
0,0,1,0,1,0,1,-1,1,0,0,0,0,0,1,Ce,0,1
1,0,0,1,2,0,1,0,0,1,0,0,1,0,2,Ce,0,0
