sig50Rvs50OM,sigExp,sig50OM,sig90Reward,RPEsign,EXPsign,sig50R,OM50sign,Rewardsign,Timewin,brainArea,pureReward,pureExp,RPE,pureExpDir,pureRPEDir,mixed,other
0,0,0,1,0,1,0,0,1,before,Ce,0,1,0,1,0,0,0
0,0,0,0,0,1,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,2,0,0,0,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,before,Ce,0,0,0,0,0,0,1
0,0,0,1,0,1,1,0,1,before,Ce,0,1,0,1,0,0,0
0,0,0,0,0,1,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,0,1,0,1,0,0,1,before,Ce,0,1,0,1,0,0,0
0,1,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,before,Ce,0,0,0,0,0,0,1
0,0,0,1,0,2,0,0,0,before,Ce,0,1,0,2,0,0,0
0,0,1,1,0,0,1,-1,1,before,Ce,0,0,0,0,0,0,1
0,1,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,1,1,0,1,0,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,before,Ce,0,0,0,0,0,0,1
0,0,0,1,0,2,0,0,0,before,Ce,0,1,0,2,0,0,0
0,0,0,1,0,1,0,0,1,before,Ce,0,1,0,1,0,0,0
0,0,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,1,1,0,0,1,-1,1,before,Ce,0,0,0,0,0,0,1
0,0,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,1,1,0,0,1,1,0,before,Ce,0,0,0,0,0,0,1
0,0,1,1,0,0,1,-1,1,before,Ce,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,1,1,0,1,0,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,1,1,0,0,1,1,0,before,Ce,0,0,0,0,0,0,1
0,0,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,before,Ce,0,0,0,0,0,0,1
0,1,1,1,0,2,1,1,0,before,Ce,0,1,0,2,0,0,0
0,0,0,0,0,0,0,0,1,before,Ce,0,0,0,0,0,0,1
0,0,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0,1,before,Ce,0,0,0,0,0,0,1
0,1,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,1,1,0,1,0,1,-1,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,2,0,0,0,before,Ce,0,0,0,0,0,0,1
0,0,0,1,0,2,0,0,0,before,Ce,0,1,0,2,0,0,0
0,0,0,1,0,1,0,0,1,before,Ce,0,1,0,1,0,0,0
0,1,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,1,1,0,0,1,-1,1,before,Ce,0,0,0,0,0,0,1
0,0,1,1,0,1,1,-1,1,before,Ce,0,1,0,1,0,0,0
0,0,1,1,0,0,1,-1,1,before,Ce,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,1,1,1,0,1,0,-1,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,0,0,0,0,1,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,1,1,0,1,0,-1,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,1,1,1,0,2,1,1,0,before,Dorsal striatum,0,1,0,2,0,0,0
1,1,0,0,2,0,1,0,0,before,Dorsal striatum,0,0,1,0,2,0,0
0,0,0,0,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,1,1,1,0,1,1,-1,1,before,Dorsal striatum,0,1,0,1,0,0,0
1,0,0,0,0,0,1,0,1,before,Dorsal striatum,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,1,0,2,0,0,0,before,Dorsal striatum,0,1,0,2,0,0,0
0,1,0,0,0,0,1,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,1,1,0,0,0,-1,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,1,1,1,0,1,1,-1,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,0,1,1,0,2,1,1,0,before,Dorsal striatum,0,1,0,2,0,0,0
0,0,0,0,0,0,1,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,1,0,2,0,0,0,before,Dorsal striatum,0,1,0,2,0,0,0
0,0,1,1,0,1,1,-1,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,0,1,1,0,1,1,-1,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,0,1,1,0,1,0,-1,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,1,0,0,1,0,1,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,1,1,1,0,2,1,1,0,before,Dorsal striatum,0,1,0,2,0,0,0
0,0,0,0,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,1,1,1,0,1,1,-1,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,1,0,1,0,1,0,0,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,1,0,1,0,1,0,0,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,0,1,1,0,1,1,-1,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,1,1,1,0,1,1,-1,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,0,0,0,0,2,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,1,0,2,0,0,0,before,Dorsal striatum,0,1,0,2,0,0,0
0,0,0,0,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
1,1,0,1,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,2,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,1,0,0,1,0,-1,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,1,0,2,0,0,0,before,Dorsal striatum,0,1,0,2,0,0,0
0,0,1,0,0,1,0,1,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,1,0,1,0,1,0,0,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,1,0,1,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,1,1,0,1,0,-1,1,before,Dorsal striatum,0,1,0,1,0,0,0
0,0,0,0,0,1,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,before,Dorsal striatum,0,0,0,0,0,0,1
0,0,0,1,0,1,0,0,1,before,Lateral hypothalamus,0,1,0,1,0,0,0
0,0,0,1,0,1,0,0,1,before,Lateral hypothalamus,0,1,0,1,0,0,0
0,0,1,0,0,0,0,-1,1,before,Lateral hypothalamus,0,0,0,0,0,0,1
0,0,1,1,0,0,1,-1,1,before,Lateral hypothalamus,0,0,0,0,0,0,1
0,0,1,1,0,1,0,-1,1,before,Lateral hypothalamus,0,1,0,1,0,0,0
0,0,1,1,0,0,1,-1,1,before,Lateral hypothalamus,0,0,0,0,0,0,1
0,0,0,1,0,0,1,0,1,before,Lateral hypothalamus,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,1,before,Lateral hypothalamus,0,0,0,0,0,0,1
0,0,1,1,0,0,1,-1,1,before,Lateral hypothalamus,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,before,Lateral hypothalamus,0,0,0,0,0,0,1
